timestamps,CAN1.EEC1.EngineSpeed
0.0,1699.5
0.010000000009313226,1694.25
0.020050000166520476,1686.875
0.030000000027939677,1677.25
0.04010000010021031,1666.375
0.05044999998062849,1653.5
0.06010000011883676,1639.625
0.07004999998025596,1625.5
0.08004999998956919,1611.625
0.0905500000808388,1601.75
0.10000000009313226,1591.25
0.11000000010244548,1582.875
0.12010000017471611,1575.625
0.13005000003613532,1569.0
0.14015000010840595,1563.25
0.15055000013671815,1556.5
0.16009999997913837,1549.125
0.1700999999884516,1544.5
0.18005000008270144,1537.875
0.1911500000860542,1530.125
0.20045000012032688,1523.375
0.21015000017359853,1518.375
0.22015000018291175,1511.875
0.23005000012926757,1505.0
0.2402000001166016,1497.875
0.2506500000599772,1492.125
0.26020000013522804,1486.125
0.27020000014454126,1479.25
0.28015000000596046,1472.625
0.2907500001601875,1467.625
0.3001500000245869,1461.5
0.31004999997094274,1454.375
0.3202500001061708,1448.125
0.3300499999895692,1443.25
0.3401500000618398,1437.125
0.3507000000681728,1430.875
0.36015000008046627,1424.625
0.3701000001747161,1419.25
0.3802000000141561,1413.875
0.39055000012740493,1406.875
0.40005000005476177,1400.75
0.410050000064075,1395.875
0.4201500001363456,1390.375
0.4306499999947846,1383.375
0.4401500001549721,1377.625
0.45079999999143183,1371.875
0.4601000000257045,1367.375
0.47010000003501773,1361.875
0.480150000192225,1355.625
0.49060000013560057,1350.125
0.500050000147894,1344.75
0.5100500001572073,1339.5
0.5201499999966472,1333.875
0.5301500000059605,1328.625
0.5401500000152737,1322.5
0.5508499999996275,1318.375
0.5601500000339001,1313.25
0.57010000012815,1306.875
0.5801500000525266,1301.75
0.5905999999959022,1296.625
0.6000500000081956,1292.125
0.6100500000175089,1286.125
0.6201000001747161,1281.125
0.6301000001840293,1275.5
0.640150000108406,1271.375
0.65030000009574,1266.375
0.6600999999791384,1260.75
0.6700999999884516,1256.625
0.6801500001456589,1253.75
0.6906500000040978,1251.5
0.7000500001013279,1251.375
0.7100500001106411,1251.0
0.7201000000350177,1251.5
0.730100000044331,1251.875
0.7401499999687076,1253.625
0.7503500001039356,1254.875
0.7601000000722706,1255.375
0.7701000000815839,1257.125
0.7801000000908971,1256.625
0.7906000001821667,1255.0
0.8000499999616295,1251.875
0.8101000001188368,1247.375
0.8201500000432134,1241.75
0.8301000001374632,1237.75
0.8401500000618398,1233.625
0.8503499999642372,1227.5
0.8601500000804663,1223.375
0.8701000001747161,1218.875
